filename
Welcome in my mind 🧠
Welcome in my mind 🧠
README
README
Contact me 💌
Create a programming language
Programming languages
Inspectional reading
Reading philosophy
Reading philosophy
Reading imaginary
Reading imaginary
Reading technics should differ depending on book type
Elementary reading
Re-reading books
Evaluate a book
Syntopical reading
Syntopical reading
The four levels of reading
Reading science and mathematics
Speed reading
Speed reading
Selective reading
Reading history
Reading biographies
Reading digests
Reading news
Analytical reading
Augmented reality
AR devices
Mixed reality
No-code tools for AR
Video
Premiere Pro
Make great videos
Make great videos
Make great videos
Hyperinflation
Printing more money could create inflation
Music theory
One drop pattern
Circle of fifth
Contrapuntal music (in film)
Chords progressions
Chords progressions
Harmonic Minor
Freemium
Writing on Medium
Newsletters
Somatosensory
Working memory
Hardware
DSP (Digital Signal Processor)
ALU (Arithmetic Logic Unit)
Raspberry Pi
Raspberry Pi
ARM (Advanced RISC Machines)
RAM (Random-Access Memory)
Places
Places
Third places
Exchange Traded Funds (ETF)
Saving habit
Emergency fund
My investment strategy
Personal finances
Personal finances
State controlled saving plans
Stock markets
Real estate
Old books
Cryptocurrencies
AudioSet dataset
Sound classification
Mel Spectogram
Soundproofing
The zettelkasten method and how to take smart notes
Fleeting notes to capture thoughts
Zettelkasten for musicians
Zettelkasten for musicians
Zettelkasten for musicians
Zettelkasten for musicians
Zettelkasten for musicians
Zettelkasten for musicians
Open-closed principle makes Zettelkasten closer to its original design
Litterature note to quote and reference content
Writing is the only thing that count
Permanent notes to link and develop
202107062037 Critics need rhetoric
"202107071942 Books never solve practical problems, action does"
202106122210 Expert can rely on their intuition
"202107032023 Don't be an expert, make unexpected connections instead"
202106201717 Avoid immobility by starting projects as drafts
202107062101 Don't read with a dictionnary
202106131144 Learning has multiple phases
202107061345 Interpretative reading
202106152233 Thinking about solutions to previous problem helps finding creative solutions
202107071935 The two types of practical books
202109222330 Is Thus Spake Zarathoustra has any historical fundements?
202106172137 Writing a lot trigger the large number theory on finding great topics
202106122212 Better taking note by hand
202107062109 Don't use extrinsic aid synchronously
202107062046 Book completeness as an indiscutable argument
202106270022 Teaching require empathy
202106290039 Don't stop on unknown references when reading
202106270039 Best collectors are artists
202107072126 Imaginary litterature is harder to read
202106122322 Remembering is bringing back memory to conscious mind
202106122339 Don't worry about slipbox's completeness
"202107032032 Focus is for executing, openess is for creativity"
202106131132 Litterature notes helps comparing different authors ideas
202106152303 Laxism is a threat to creativity
202107272301 Our mental growth don't have limit
~ What are litterature notes?
202106122307 Reading with a pen in hand is a way to test our understanding
202106122336 Understanding improve strenght retrieval
"202106270036 Don't search for good taste, search for pleasant things"
202106122329 Multiplying notes connections free us from unexpected cues
202106270049 Collectors should have an antilibrary
202106201723 Learning shouldn't be linear but graph oriented
202107072122 Be careful about practical book's propaganda
202107071931 Analytical reading apply on non-fiction
202106131120 Index notes like a writter
202106131155 Paradigm shifts comes from little steps toward a direction
202106152243 Creativity and thinking better flourish under restrictions
202106122248 Storing notes in our slipbox is investing in ourself
"202106122343 The slipbox is a tool to think in, not about"
202106152240 Solutions are just trade offs and can't be perfect
202106270032 Aided and unaided learning
202107032150 Questioning a book to read more actively
202107061349 Criticizing a book is a reader obligation toward the author
202107052315 Grasp author's key sentences and arguments in a book
202106122315 Reading without writing isn't learning
202106270021 The three kinds of reading
202106131114 Note connections helps find patterns accross non related subjects
202107052256 Find the important keywords in a book help analysis
202106152224 Finding creative and functional solutions require abstraction
202107062058 Read with exigence
202106152315 Zettelkasten make the act of choosing topic seamless
202106122321 Forgetting is active inhibition
202106122246 Smart notes are about thinking beyound actual context
202106172158 Finding unheard ideas require open-mindness
202106152227 Knowing failures helps as much as knowing successes
202107272232 Zettelkasten and digital gardening is syntopical writing
202106242157 There's various level of active reading
202106122221 The slipbox should be agnostic
202106122244 Reformulating ideas enlarge our set of thinking tools
202107272303 Geniuses characteristics
Transistors
Transistors
Electronics
Logic gates
Logic gates
Wiring audio cables
Nixie tubes
Universaly complete set
Removable soundproofed studios
Arranging studios in a building
Top of the line studio gear configurations
Preamp
Compressor
Monitors
Distortion
Microphones
Audio interface
Books and Binders
A brief computer history
SOLID
Turing completeness
Oriented Object Programming
Memex
202106122320 Differences between Slipbox and Second-brain?
202109222326 Thoughts fragment
202106152307 Restrict time on tasks to focus on the real value
"202107061403 Memex, second brain, PKM, digital garden, what's the differences?"
202106131148 Practice jazz improvisation by following learning phase principle
202106152301 Binary code has the best restriction-output ratio
202106152252 Imposing restrictions to fight the blank page syndrome
~ What are fleeting notes?
202106172218 Slipbox can make working on multiple manuscrits at the same time seamless
202109181532 Domestic Cozy
202106172211 Focus isn't what we do but what we don't do
202107122234 Quadrivium and Trivium
202106290027 Make analytical TL;DR of chapters in books
